group id,image id,fish index,species,length,width,area,gripping points,avg hsv,bounding box
1,2,0,horse_mackerel,401.7721019,78.54934755,22691,"[[351, 592], [322, 665]]",[33.49593320065761 59.81067751146491 80.51029678982435],"[[860, 564], [1265, 754]]"
1,2,1,whiting,383.1312142,97.4063653,27741.5,"[[819, 304], [787, 396]]",[46.18446360765109 40.29397778487526 121.49015224103056],"[[1351, 296], [1769, 448]]"
1,2,2,haddock,342.1644194,83.5463943,21831,"[[782, 638], [798, 720]]",[20.695712807593683 43.82909712537676 106.35278240136758],"[[1363, 641], [1747, 745]]"
1,2,3,haddock,371.7387991,81.93289938,21765.5,"[[477, 302], [554, 274]]",[15.046941357188036 52.59799403632421 102.01197253094786],"[[1134, 105], [1297, 459]]"
1,2,4,horse_mackerel,400.6037747,65.78753681,22076.5,"[[787, 889], [765, 827]]",[39.11340434975588 34.50683533067022 70.80563692853973],"[[1284, 812], [1712, 999]]"
1,2,5,whiting,432.3361273,103.8315944,32523,"[[632, 498], [682, 589]]",[39.469949663411974 54.51585905755352 112.03666080417248],"[[1195, 420], [1620, 665]]"
1,2,6,haddock,382.1385429,80.95677859,24336,"[[336, 877], [371, 804]]",[58.17013706384183 30.25096025552905 124.21582501111875],"[[846, 747], [1224, 948]]"
1,2,7,whiting,500.1808746,106.780148,37993,"[[328, 242], [239, 301]]",[22.519192286701838 44.10057433924998 117.15702071259648],"[[830, 98], [1164, 529]]"
1,3,0,whiting,448.7856,97.32933782,28990.5,"[[127, 433], [30, 425]]",[24.497911643858874 45.33634418825766 119.61316173724066],"[[706, 241], [808, 688]]"
1,3,1,whiting,483.2979582,105.8158778,37419,"[[427, 480], [518, 426]]",[21.741529449018365 34.67827739075364 131.10684504960946],"[[991, 230], [1319, 653]]"
1,3,2,haddock,359.7693352,83.48652586,21921,"[[795, 115], [748, 184]]",[19.715945800430724 38.315820172290024 119.09417623833453],"[[1358, 50], [1694, 285]]"
1,3,3,haddock,358.2522285,88.60022573,22875,"[[214, 872], [239, 787]]",[35.198692585584034 34.065112678479274 119.43708068123172],"[[711, 782], [1084, 921]]"
1,3,4,horse_mackerel,429.2595962,64.03124237,21911.5,"[[986, 570], [922, 568]]",[40.766251172765045 40.23495509985257 57.48666398606085],"[[1681, 392], [1759, 840]]"
