group id,image id,fish index,species,length,width,area,gripping points,center point,orientations,avg hsv
1,10,1,horse_mackerel,324.3269231333675,57.706152185014034,12171.0,"[[855, 701, 0.0], [846, 644, 0.0]]","[851, 676, 0.0]","(168.6900675259798, -6.465932098939534)",[31.22546435 44.49083026 68.21028886]
1,10,2,haddock,362.3419181236412,62.29767250869008,16028.5,"[[570, 774, 10.899728459222736], [511, 754, 10.899728459222736]]","[537, 763, 10.899728459222736]","(111.25050550713324, 116.07535558394878)",[ 24.59744176  34.56780366 116.42741265]
1,10,3,whiting,490.6145569695016,102.96115772464876,31572.0,"[[192, 726, 0.0], [91, 746, 0.0]]","[141, 736, 0.0]","(79.90537726253059, 69.49502052403689)",[ 44.71514478  33.42661309 126.4503249 ]
1,10,4,whiting,431.48889372453687,87.69264507357501,20148.0,"[[309, 714, 9.935969676157722], [396, 725, 9.935969676157722]]","[351, 719, 9.935969676157722]","(-79.30612743437902, -75.40082484748795)",[ 43.31364385  46.58378871 118.49076243]
1,10,5,haddock,378.4675062462227,88.27797007,21198.5,"[[684, 437, 0.0], [772, 444, 0.0]]","[724, 440, 0.0]","(-87.81835859644855, 97.16723872851978)",[ 19.78503296  43.15308259 106.96110896]
1,10,6,haddock,375.65866714648,91.98369420718,20431.5,"[[876, 428, 10.83735675300334], [966, 409, 10.83735675300334]]","[918, 419, 10.83735675300334]","(-103.01435353915964, 78.69006752597979)",[ 28.25944073  33.20905035 108.72773263]
1,10,7,whiting,472.7872979654424,88.23264701911646,27052.5,"[[182, 412, 0.0], [266, 385, 0.0]]","[219, 400, 0.0]","(-107.67838586488227, -113.1985905136482)",[ 25.34006034  49.85903453 110.78826685]
1,10,8,horse_mackerel,304.5098672325512,66.27216610312357,15518.0,"[[779, 72, 0.0], [773, 138, 0.0]]","[776, 104, 0.0]","(7.549421768263272, -178.32760563891074)",[35.60351627 57.11430606 64.83607186]
1,11,1,haddock,373.320875,68.81860213634101,17093.0,"[[450, 805, 10.71722837965436], [490, 749, 10.71722837965436]]","[470, 777, 10.71722837965436]","(-145.05170034199267, -139.27946353024524)",[ 59.13532866  28.52269798 122.80624373]
1,11,2,whiting,464.6678023666118,89.04493247793498,26716.0,"[[138, 831, 0.0], [213, 783, 0.0]]","[174, 808, 0.0]","(-122.07400087529405, -125.13419305691565)",[ 48.90651174  33.63170788 121.52289204]
1,11,3,whiting,402.2730260616266,80.13114251,18034.5,"[[557, 454, 11.27161998857238], [596, 524, 11.27161998857238]]","[576, 488, 11.27161998857238]","(-23.76938885995374, -28.587902273621594)",[ 38.49958383  50.36326644 116.97734209]
1,11,4,horse_mackerel,428.3096572291081,76.02631123499285,20165.5,"[[869, 446, 11.244542110739618], [793, 444, 11.244542110739618]]","[832, 445, 11.244542110739618]","(89.33120804703135, -86.6531813582598)",[34.86034399 37.15120317 76.74483204]
1,11,5,haddock,390.1578890739873,77.23341245859851,17511.0,"[[192, 417, 0.0], [269, 423, 0.0]]","[228, 420, 0.0]","(-85.78305717083143, 94.65335158726839)",[ 20.66635659  49.8501292  110.91322997]
