group,image,species,length,width,area,avg rgb,avg hsv
1,2,horse_mackerel,438.7057096187157,79.20227269466452,22688.0,"[63.29981394141318, 72.31257842585782, 78.72329193890356]","[33.26450607935615, 59.26515512093808, 80.24745792047077]"
1,2,whiting,436.8896455921631,99.32774033471212,27741.5,"[108.04389793818092, 112.72358848788105, 119.53099826111644]","[45.99407360090848, 39.8297313602328, 121.19319351289968]"
1,2,haddock,387.1537821357792,86.70063436907483,21830.0,"[91.82926938995861, 98.25850278927479, 105.81977685801692]","[20.513271549397157, 43.27168436206586, 106.12016375742307]"
1,2,haddock,383.7567568149547,88.76936408468859,21754.5,"[82.96917235456313, 90.68937305067125, 101.87085838267866]","[14.993219726076934, 52.403290692944, 101.87397730868327]"
1,2,horse_mackerel,450.029356752912,71.47027354082255,22076.5,"[62.94345317354638, 68.7416333777186, 68.58885929871283]","[38.77390146471372, 33.63417665335109, 70.31260541500222]"
1,2,whiting,476.78257836726834,104.20172743289817,32519.0,"[95.06298902165342, 101.52007642384909, 108.04367077091041]","[38.289440164978465, 51.74540547097713, 109.94013465154364]"
1,2,haddock,416.2865023774188,81.85963596303125,24331.0,"[111.16952442575219, 115.02689259139437, 122.88227919767066]","[57.73350048527985, 29.125283079909416, 123.41612746683921]"
1,2,whiting,517.1365229796762,111.50336317797772,37991.0,"[99.79057618837227, 106.77778932868986, 117.07063960287964]","[22.485276918678693, 44.0011175507446, 117.09174311926606]"
1,3,whiting,448.5019896832157,99.32270636667126,28981.5,"[101.25516304347826, 107.9328464673913, 119.46613451086957]","[24.39867527173913, 45.07415081521739, 119.4773097826087]"
1,3,whiting,505.7845431179686,113.85077953180644,37419.0,"[116.02551720498205, 122.7465431707832, 130.85805889803675]","[21.681048131728943, 34.53995144606291, 131.02760185771587]"
1,3,haddock,395.2736659564827,83.23460818673925,21921.0,"[104.21338837042354, 110.9203607322326, 118.86768664752333]","[19.626211414213927, 38.0891959798995, 118.99892318736539]"
1,3,haddock,387.7693197230924,89.56003573022959,22875.0,"[104.68914501978324, 109.41153449165664, 118.95867022191639]","[35.146439015998624, 33.854378118011354, 119.31214519181145]"
1,3,horse_mackerel,448.235734648119,73.0,21908.5,"[49.738069705093835, 55.73011617515639, 55.4106344950849]","[40.60509383378016, 39.7062109025916, 57.22765862377123]"
1,3,whiting,481.220689349628,105.32331175955302,33373.5,"[107.90277613703485, 113.63337271116362, 119.5042528056704]","[26.423183697578263, 27.361311281748375, 119.70115180153573]"
1,3,haddock,410.46127405964944,80.62257748298549,23447.0,"[93.69348418185628, 100.43260004190236, 108.2175151896082]","[23.02028074586214, 37.683092394720305, 108.23880159228996]"
1,3,horse_mackerel,438.3543119111463,75.05997601918082,21732.0,"[54.883941046558796, 63.063460585027265, 68.41839816108532]","[29.902735836300536, 57.33799071528372, 69.42908009194574]"
1,4,horse_mackerel,435.0536466575803,78.02563681252464,22590.5,"[64.33910590277777, 75.41579861111111, 80.8267795138889]","[32.124609375, 62.467838541666666, 82.46931423611112]"
1,4,whiting,447.1648088498328,100.60318086422517,29207.5,"[115.17544332816398, 116.81238621805677, 123.52282381498213]","[64.2733126559234, 41.79677702110445, 127.23578989953477]"
1,4,haddock,385.5782163132921,84.0535543567314,21113.5,"[99.78219432821943, 103.59697814969782, 108.14872152487216]","[36.84272431427243, 34.19786145978615, 109.59823337982334]"
1,4,haddock,383.9468983609905,83.21658488546619,20815.0,"[88.20856522969531, 95.28237902084709, 105.40972549759456]","[18.414866522026223, 45.330912178096405, 105.4694368455806]"
1,4,horse_mackerel,454.230557682032,78.7210264160726,23546.0,"[57.112371262977945, 65.94608681149147, 68.31943459950799]","[31.502272442980445, 45.92678147020806, 69.24263019638911]"
1,4,whiting,482.6811258335642,104.04806581575652,32392.5,"[92.89297557117216, 100.31565817894193, 110.84131909585957]","[24.61464512792431, 49.19725593988622, 110.85160171579813]"
1,4,haddock,408.5944751002104,80.09993757800315,23588.5,"[100.31425953689822, 105.97530401465934, 116.132017324671]","[22.927744461102783, 38.216308512410464, 116.15971181076128]"
1,4,whiting,506.4085364580106,111.66467659918244,35996.0,"[122.96491083676268, 126.94908093278464, 130.62631001371741]","[44.43240054869685, 24.42307270233196, 132.19986282578876]"
1,5,horse_mackerel,433.3365073137069,73.24616030891995,21011.0,"[52.33940806338849, 60.62726637147518, 65.87322302493591]","[30.965975297133536, 59.36010254020042, 66.91857375903052]"
1,5,whiting,437.9955683996187,91.39474820797966,25799.0,"[118.30842261791284, 121.50798795134784, 127.04590688984634]","[54.683341594539975, 29.157585694132003, 128.5477942578259]"
1,5,whiting,514.5382830176006,110.07270324653612,37594.0,"[113.05529482708896, 114.69832988123017, 119.72318502398993]","[66.3476835950814, 31.362182428357936, 122.06541517002701]"
1,5,haddock,402.5563667901374,85.86617494683223,23982.5,"[95.97573891625616, 102.82475369458128, 113.69454022988506]","[15.245073891625616, 45.947947454844005, 113.69675697865353]"
1,5,haddock,383.7513433153333,84.52810183601665,21382.5,"[100.31037493107884, 106.34933835691969, 113.05421797463701]","[26.234331924278624, 32.77867120014703, 113.44196838816394]"
1,5,horse_mackerel,458.0555262035748,84.38009243891595,24741.0,"[68.83418600039658, 77.39746182827682, 82.6836803489986]","[28.735593892524292, 45.64651992861392, 83.16958159825501]"
1,5,whiting,477.4265472771871,105.07616285342742,32685.5,"[102.8460587792012, 107.77552373775433, 111.68777694046722]","[47.2422004521477, 48.74284853051997, 115.43490580256217]"
1,5,haddock,409.3697734222684,79.63039620647382,23440.0,"[103.01249214001258, 109.3841961852861, 117.95912806539509]","[36.089415216935656, 35.80918046531126, 117.99228673234123]"
